hyprsunset 0.3.3-4
hyprtoolkit 0.5.2-1
hyprutils 0.11.0-1
hyprwave-debug 0.8-1
hyprwayland-scanner 0.4.5-1
hyprwire 0.2.1-2
i2c-tools 4.4-3
i3lock-color 2.13.c.5-3.3
iana-etc 20251215-1
icu 78.1-1
ijs 0.35-6
imagemagick 7.1.2.12-1
imath 3.2.2-2
imlib2 1.12.6-1
iniparser 4.2.6-2
inotify-tools 4.25.9.0-1
intel-ucode 20251111-1
intltool 0.51.0-6
inxi 3.3.40.1-1
iproute2 6.18.0-1
iptables 1:1.8.11-2
iputils 20250605-1
iso-codes 4.20.1-1
jack2 1.9.22-1
jansson 2.14.1-1
jasper 4.2.8-1
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jgmenu 4.5.0-2
jq 1.8.1-1
jre-openjdk 25.0.2.u10-1
js140 140.6.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 25.12.0-1
karchive 6.21.0-1
karchive5 5.116.0-2
kauth5 5.116.0-2
kbd 2.9.0-1
kbookmarks 6.21.0-1
kcmutils 6.21.0-1
kcodecs 6.21.0-1
kcodecs5 5.116.0-2
kcolorscheme 6.21.0-1
kcompletion 6.21.0-1
kconfig 6.21.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.21.0-1
kconfigwidgets5 5.116.0-3
kcoreaddons 6.21.0-1
kcoreaddons5 5.116.0-2
kcrash 6.21.0-1
kdbusaddons 6.21.0-1
kddockwidgets 2.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.21.0-1
kglobalaccel 6.21.0-1
kguiaddons 6.21.0-1
kguiaddons5 5.116.0-2
ki18n 6.21.0-1
ki18n5 5.116.0-2
kiconthemes 6.21.0-1
kiconthemes5 5.116.0-2
kidletime 6.21.0-1
kio 6.21.0-1
kirigami 6.21.0-2
kirigami2 5.116.0-2
kitemviews 6.21.0-1
kitty 0.45.0-3
kitty-shell-integration 0.45.0-3
kitty-terminfo 0.45.0-3
kjobwidgets 6.21.0-1
kmod 34.2-1
knewstuff 6.21.0-1
knotifications 6.21.0-1
knotifyconfig 6.21.0-1
kpackage 6.21.0-1
krb5 1.21.3-2
kservice 6.21.0-1
ktextwidgets 6.21.0-1
kvantum 1.1.5-1
kwallet 6.21.0-1
kwidgetsaddons 6.21.0-1
kwidgetsaddons5 5.116.0-2
kwindowsystem 6.21.0-1
kxmlgui 6.21.0-1
l-smash 2.14.5-4
lame 3.100-6
lapack 3.12.1-2
lazygit 0.58.0-1
lcms2 2.17-1
leancrypto 1.6.0-1
lensfun 1:0.3.4-5
leptonica 1.87.0-1
less 1:685-1
lib32-audit 4.1.2-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.17.0-1
lib32-e2fsprogs 1.47.3-2
lib32-expat 2.7.3-1
lib32-gcc-libs 15.2.1+r301+gf24307422d1d-1
lib32-glibc 2.42+r33+gde1fe81f4714-1
lib32-icu 78.1-2
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.77-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.128-1
lib32-libelf 0.194-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.11.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.58-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.10-1
lib32-libnghttp2 1.68.0-1
lib32-libnghttp3 1.14.0-1
lib32-libnsl 2.0.1-1
lib32-libpciaccess 0.18.1-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.3-1
lib32-libx11 1.8.12-2
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxml2 2.15.1-4
lib32-libxshmfence 1.3.3-1
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:21.1.6-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:25.3.3-1
lib32-ncurses 6.5-2
lib32-openssl 1:3.6.0-1
lib32-pam 1.7.1-1
lib32-spirv-tools 1:1.4.335.0-1
lib32-systemd 259-1
lib32-vulkan-icd-loader 1.4.335.0-1
lib32-vulkan-intel 1:25.3.3-1
lib32-vulkan-mesa-implicit-layers 1:25.3.3-1
lib32-wayland 1.24.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.2-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.7-2
libaccounts-glib 1.27-3
libaccounts-qt 1.17-1
libadwaita 1:1.8.3-1
libaec 1.1.4-3
libao 1.2.2-7
libappindicator 12.10.1-1
libarchive 3.8.5-1
libass 0.17.4-1
libassuan 3.0.0-1
libastal-4-git r855.7d1fac8-1
libastal-apps-git r855.7d1fac8-1
libastal-auth-git r855.7d1fac8-1
libastal-battery-git r855.7d1fac8-1
libastal-bluetooth-git r855.7d1fac8-1
libastal-cava-git r855.7d1fac8-1
libastal-git r855.7d1fac8-1
libastal-greetd-git r855.7d1fac8-1
libastal-hyprland-git r855.7d1fac8-1
libastal-io-git r855.7d1fac8-1
libastal-meta 1-8.1
libastal-mpris-git r855.7d1fac8-1
libastal-network-git r855.7d1fac8-1
libastal-notifd-git r855.7d1fac8-1
libastal-powerprofiles-git r855.7d1fac8-1
libastal-river-git r855.7d1fac8-1
libastal-tray-git r855.7d1fac8-1
libastal-wireplumber-git r855.7d1fac8-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-7
libavc1394 0.5.4-7
libavif 1.3.0-3
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.4.0-1
libblockdev-crypto 3.4.0-1
libblockdev-fs 3.4.0-1
